customer_key,full_name,first_name,last_name,email_address,gender,education,occupation,yearly_income,total_children,country,state,city
11000,Jon Yang,Jon,Yang,jon24@adventure-works.com,M,Bachelors,Professional,90000,2,Australia,Queensland,Rockhampton
11001,Eugene Huang,Eugene,Huang,eugene10@adventure-works.com,M,Bachelors,Professional,60000,3,Australia,Victoria,Seaford
11002,Ruben Torres,Ruben,Torres,ruben35@adventure-works.com,M,Bachelors,Professional,60000,3,Australia,Tasmania,Hobart
11003,Christy Zhu,Christy,Zhu,christy12@adventure-works.com,F,Bachelors,Professional,70000,0,Australia,New South Wales,North Ryde
11004,Elizabeth Johnson,Elizabeth,Johnson,elizabeth5@adventure-works.com,F,Bachelors,Professional,80000,5,Australia,New South Wales,Wollongong
11005,Julio Ruiz,Julio,Ruiz,julio1@adventure-works.com,M,Bachelors,Professional,70000,0,Australia,Queensland,East Brisbane
11006,Janet Alvarez,Janet,Alvarez,janet9@adventure-works.com,F,Bachelors,Professional,70000,0,Australia,New South Wales,Matraville
11007,Marco Mehta,Marco,Mehta,marco14@adventure-works.com,M,Bachelors,Professional,60000,3,Australia,Victoria,Warrnambool
11008,Rob Verhoff,Rob,Verhoff,rob4@adventure-works.com,F,Bachelors,Professional,60000,4,Australia,Victoria,Bendigo
11009,Shannon Carlson,Shannon,Carlson,shannon38@adventure-works.com,M,Bachelors,Professional,70000,0,Australia,Queensland,Hervey Bay
11010,Jacquelyn Suarez,Jacquelyn,Suarez,jacquelyn20@adventure-works.com,F,Bachelors,Professional,70000,0,Australia,Queensland,East Brisbane
11011,Curtis Lu,Curtis,Lu,curtis9@adventure-works.com,M,Bachelors,Professional,60000,4,Australia,Queensland,East Brisbane
11012,Lauren Walker,Lauren,Walker,lauren41@adventure-works.com,F,Bachelors,Management,100000,2,United States,Washington,Bremerton
11013,Ian Jenkins,Ian,Jenkins,ian47@adventure-works.com,M,Bachelors,Management,100000,2,United States,Oregon,Lebanon
11014,Sydney Bennett,Sydney,Bennett,sydney23@adventure-works.com,F,Bachelors,Management,100000,3,United States,Washington,Redmond
11015,Chloe Young,Chloe,Young,chloe23@adventure-works.com,F,Partial College,Skilled Manual,30000,0,United States,California,Burbank
11016,Wyatt Hill,Wyatt,Hill,wyatt32@adventure-works.com,M,Partial College,Skilled Manual,30000,0,United States,California,Imperial Beach
11017,Shannon Wang,Shannon,Wang,shannon1@adventure-works.com,F,High School,Skilled Manual,20000,4,Australia,Victoria,Sunbury
11018,Clarence Rai,Clarence,Rai,clarence32@adventure-works.com,M,Partial College,Clerical,30000,2,Australia,Victoria,Bendigo
11019,Luke Lal,Luke,Lal,luke18@adventure-works.com,M,High School,Skilled Manual,40000,0,Canada,British Columbia,Langley
11020,Jordan King,Jordan,King,jordan73@adventure-works.com,M,High School,Skilled Manual,40000,0,Canada,British Columbia,Metchosin
11021,Destiny Wilson,Destiny,Wilson,destiny7@adventure-works.com,F,Partial College,Skilled Manual,40000,0,United States,Oregon,Beaverton
11022,Ethan Zhang,Ethan,Zhang,ethan20@adventure-works.com,M,Partial College,Skilled Manual,40000,0,United States,Washington,Bellingham
11023,Seth Edwards,Seth,Edwards,seth46@adventure-works.com,M,Partial College,Skilled Manual,40000,0,United States,California,Bellflower
11024,Russell Xie,Russell,Xie,russell7@adventure-works.com,M,Partial College,Skilled Manual,60000,0,United States,California,Concord
11025,Alejandro Beck,Alejandro,Beck,alejandro45@adventure-works.com,M,Partial High School,Clerical,10000,2,Australia,Queensland,Hawthorne
11026,Harold Sai,Harold,Sai,harold3@adventure-works.com,M,Partial College,Clerical,30000,2,Australia,New South Wales,Goulburn
11027,Jessie Zhao,Jessie,Zhao,jessie16@adventure-works.com,M,Partial College,Clerical,30000,2,Australia,Victoria,Warrnambool
11028,Jill Jimenez,Jill,Jimenez,jill13@adventure-works.com,F,Partial College,Clerical,30000,2,Australia,New South Wales,St. Leonards
11029,Jimmy Moreno,Jimmy,Moreno,jimmy9@adventure-works.com,M,Partial College,Clerical,30000,2,Australia,Victoria,Bendigo
11030,Bethany Yuan,Bethany,Yuan,bethany10@adventure-works.com,F,Partial High School,Clerical,10000,2,Australia,South Australia,Cloverdale
11031,Theresa Ramos,Theresa,Ramos,theresa13@adventure-works.com,F,High School,Skilled Manual,20000,4,Australia,New South Wales,Matraville
11032,Denise Stone,Denise,Stone,denise10@adventure-works.com,F,High School,Skilled Manual,20000,4,Australia,Victoria,Melbourne
11033,Jaime Nath,Jaime,Nath,jaime41@adventure-works.com,M,High School,Skilled Manual,20000,4,Australia,New South Wales,Milsons Point
11034,Ebony Gonzalez,Ebony,Gonzalez,ebony19@adventure-works.com,F,High School,Skilled Manual,20000,4,Australia,New South Wales,North Sydney
11035,Wendy Dominguez,Wendy,Dominguez,wendy12@adventure-works.com,F,Partial High School,Clerical,10000,2,Australia,Victoria,Cranbourne
11036,Jennifer Russell,Jennifer,Russell,jennifer93@adventure-works.com,F,Partial College,Skilled Manual,60000,0,United States,California,National City
11037,Chloe Garcia,Chloe,Garcia,chloe27@adventure-works.com,F,Partial High School,Clerical,40000,0,Canada,British Columbia,Cliffside
11038,Diana Hernandez,Diana,Hernandez,diana2@adventure-works.com,F,Partial High School,Clerical,10000,2,Australia,New South Wales,Lavender Bay
11039,Marc Martin,Marc,Martin,marc3@adventure-works.com,M,Partial College,Clerical,30000,3,Australia,New South Wales,Wollongong
11040,Jesse Murphy,Jesse,Murphy,jesse15@adventure-works.com,M,Partial College,Skilled Manual,30000,0,United States,Washington,Tacoma
11041,Amanda Carter,Amanda,Carter,amanda53@adventure-works.com,F,Partial College,Skilled Manual,60000,0,United States,California,Glendale
11042,Megan Sanchez,Megan,Sanchez,megan28@adventure-works.com,F,Partial College,Skilled Manual,70000,0,United States,California,Los Angeles
11043,Nathan Simmons,Nathan,Simmons,nathan11@adventure-works.com,M,Partial College,Skilled Manual,60000,0,United States,California,Glendale
11044,Adam Flores,Adam,Flores,adam10@adventure-works.com,M,Partial High School,Clerical,20000,2,Australia,Queensland,Hervey Bay
11045,Leonard Nara,Leonard,Nara,leonard18@adventure-works.com,M,High School,Skilled Manual,30000,3,Australia,New South Wales,Matraville
11046,Christine Yuan,Christine,Yuan,christine4@adventure-works.com,F,High School,Skilled Manual,30000,3,Australia,New South Wales,Lavender Bay
11047,Jaclyn Lu,Jaclyn,Lu,jaclyn12@adventure-works.com,F,High School,Skilled Manual,30000,3,Australia,Victoria,Geelong
11048,Jeremy Powell,Jeremy,Powell,jeremy26@adventure-works.com,M,High School,Skilled Manual,30000,3,Australia,Victoria,Sunbury
11049,Carol Rai,Carol,Rai,carol8@adventure-works.com,F,Partial High School,Clerical,40000,0,United States,California,Chula Vista
11050,Alan Zheng,Alan,Zheng,alan23@adventure-works.com,M,High School,Skilled Manual,30000,3,Australia,Tasmania,Hobart
11051,Daniel Johnson,Daniel,Johnson,daniel18@adventure-works.com,M,High School,Skilled Manual,30000,3,Australia,Queensland,Caloundra
11052,Heidi Lopez,Heidi,Lopez,heidi19@adventure-works.com,F,Partial College,Clerical,40000,2,Australia,New South Wales,Matraville
11053,Ana Price,Ana,Price,ana0@adventure-works.com,F,Partial College,Skilled Manual,60000,0,United States,California,San Diego
11054,Deanna Munoz,Deanna,Munoz,deanna33@adventure-works.com,F,Partial College,Skilled Manual,40000,2,Australia,Victoria,Geelong
11055,Gilbert Raje,Gilbert,Raje,gilbert35@adventure-works.com,M,Partial College,Skilled Manual,40000,2,Australia,Queensland,East Brisbane
11056,Michele Nath,Michele,Nath,michele19@adventure-works.com,F,Partial College,Skilled Manual,40000,3,Australia,New South Wales,Newcastle
11057,Carl Andersen,Carl,Andersen,carl12@adventure-works.com,M,Graduate Degree,Management,70000,2,Australia,New South Wales,Lane Cove
11058,Marc Diaz,Marc,Diaz,marc6@adventure-works.com,M,Partial College,Skilled Manual,80000,2,Australia,South Australia,Findon
11059,Ashlee Andersen,Ashlee,Andersen,ashlee19@adventure-works.com,F,Partial College,Skilled Manual,80000,2,Australia,Queensland,Townsville
11060,Jon Zhou,Jon,Zhou,jon28@adventure-works.com,M,Partial College,Skilled Manual,80000,2,Australia,Victoria,Warrnambool
11061,Todd Gao,Todd,Gao,todd14@adventure-works.com,M,Partial College,Skilled Manual,80000,2,Australia,Queensland,Gold Coast
11062,Noah Powell,Noah,Powell,noah5@adventure-works.com,M,High School,Skilled Manual,40000,0,United States,Oregon,Portland
11063,Angela Murphy,Angela,Murphy,angela41@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,Washington,Redmond
11064,Chase Reed,Chase,Reed,chase21@adventure-works.com,M,High School,Skilled Manual,40000,0,United States,California,Downey
11065,Jessica Henderson,Jessica,Henderson,jessica29@adventure-works.com,F,Partial College,Skilled Manual,60000,0,United States,California,La Jolla
11066,Grace Butler,Grace,Butler,grace62@adventure-works.com,F,Partial College,Professional,70000,0,United States,Oregon,Lebanon
11067,Caleb Carter,Caleb,Carter,caleb40@adventure-works.com,M,Partial College,Professional,60000,0,United States,Washington,Port Orchard
11068,Tiffany Liang,Tiffany,Liang,tiffany17@adventure-works.com,F,High School,Skilled Manual,80000,2,Australia,Victoria,Warrnambool
11069,Carolyn Navarro,Carolyn,Navarro,carolyn30@adventure-works.com,F,High School,Skilled Manual,80000,2,Australia,Queensland,Gold Coast
11070,Willie Raji,Willie,Raji,willie40@adventure-works.com,M,High School,Skilled Manual,80000,2,Australia,Victoria,Sunbury
